START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/06/17,06:40 PM,08:40 PM,Indians at Rockies,Coors Field - Denver,"",06/06/17,06/06/17,09:40 PM,11:40 PM,FALSE,TRUE,06/06/17,05:40 PM,07:40 PM,FREE,BUSY
06/07/17,01:10 PM,03:10 PM,Indians at Rockies,Coors Field - Denver,"",06/07/17,06/07/17,04:10 PM,06:10 PM,FALSE,TRUE,06/07/17,12:10 PM,02:10 PM,FREE,BUSY
06/08/17,06:05 PM,08:05 PM,Rockies at Cubs,Wrigley Field - Chicago,"",06/08/17,06/08/17,09:05 PM,11:05 PM,FALSE,TRUE,06/08/17,05:05 PM,07:05 PM,FREE,BUSY
06/09/17,12:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"",06/09/17,06/09/17,03:20 PM,05:20 PM,FALSE,TRUE,06/09/17,11:20 AM,01:20 PM,FREE,BUSY
06/10/17,12:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"",06/10/17,06/10/17,03:20 PM,05:20 PM,FALSE,TRUE,06/10/17,11:20 AM,01:20 PM,FREE,BUSY
06/11/17,12:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"",06/11/17,06/11/17,03:20 PM,05:20 PM,FALSE,TRUE,06/11/17,11:20 AM,01:20 PM,FREE,BUSY
06/12/17,05:05 PM,07:05 PM,Rockies at Pirates,PNC Park - Pittsburgh,"",06/12/17,06/12/17,08:05 PM,10:05 PM,FALSE,TRUE,06/12/17,04:05 PM,06:05 PM,FREE,BUSY
06/13/17,05:05 PM,07:05 PM,Rockies at Pirates,PNC Park - Pittsburgh,"",06/13/17,06/13/17,08:05 PM,10:05 PM,FALSE,TRUE,06/13/17,04:05 PM,06:05 PM,FREE,BUSY
06/14/17,05:05 PM,07:05 PM,Rockies at Pirates,PNC Park - Pittsburgh,"",06/14/17,06/14/17,08:05 PM,10:05 PM,FALSE,TRUE,06/14/17,04:05 PM,06:05 PM,FREE,BUSY
06/15/17,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"",06/15/17,06/15/17,09:40 PM,11:40 PM,FALSE,TRUE,06/15/17,05:40 PM,07:40 PM,FREE,BUSY
06/16/17,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"",06/16/17,06/16/17,09:40 PM,11:40 PM,FALSE,TRUE,06/16/17,05:40 PM,07:40 PM,FREE,BUSY
06/17/17,01:10 PM,03:10 PM,Giants at Rockies,Coors Field - Denver,"",06/17/17,06/17/17,04:10 PM,06:10 PM,FALSE,TRUE,06/17/17,12:10 PM,02:10 PM,FREE,BUSY
06/18/17,01:10 PM,03:10 PM,Giants at Rockies,Coors Field - Denver,"",06/18/17,06/18/17,04:10 PM,06:10 PM,FALSE,TRUE,06/18/17,12:10 PM,02:10 PM,FREE,BUSY
06/20/17,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,"",06/20/17,06/20/17,09:40 PM,11:40 PM,FALSE,TRUE,06/20/17,05:40 PM,07:40 PM,FREE,BUSY
06/21/17,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,"",06/21/17,06/21/17,09:40 PM,11:40 PM,FALSE,TRUE,06/21/17,05:40 PM,07:40 PM,FREE,BUSY
06/22/17,01:10 PM,03:10 PM,D-backs at Rockies,Coors Field - Denver,"",06/22/17,06/22/17,04:10 PM,06:10 PM,FALSE,TRUE,06/22/17,12:10 PM,02:10 PM,FREE,BUSY
06/23/17,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"",06/23/17,06/24/17,11:10 PM,01:10 AM,FALSE,TRUE,06/23/17,07:10 PM,09:10 PM,FREE,BUSY
06/24/17,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"",06/24/17,06/25/17,11:10 PM,01:10 AM,FALSE,TRUE,06/24/17,07:10 PM,09:10 PM,FREE,BUSY
06/25/17,02:10 PM,04:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"",06/25/17,06/25/17,05:10 PM,07:10 PM,FALSE,TRUE,06/25/17,01:10 PM,03:10 PM,FREE,BUSY
06/26/17,08:15 PM,10:15 PM,Rockies at Giants,AT&T Park - San Francisco,"",06/26/17,06/27/17,11:15 PM,01:15 AM,FALSE,TRUE,06/26/17,07:15 PM,09:15 PM,FREE,BUSY
06/27/17,08:15 PM,10:15 PM,Rockies at Giants,AT&T Park - San Francisco,"",06/27/17,06/28/17,11:15 PM,01:15 AM,FALSE,TRUE,06/27/17,07:15 PM,09:15 PM,FREE,BUSY
06/28/17,01:45 PM,03:45 PM,Rockies at Giants,AT&T Park - San Francisco,"",06/28/17,06/28/17,04:45 PM,06:45 PM,FALSE,TRUE,06/28/17,12:45 PM,02:45 PM,FREE,BUSY
06/30/17,07:40 PM,09:40 PM,Rockies at D-backs,Chase Field - Phoenix,"",06/30/17,07/01/17,10:40 PM,12:40 AM,FALSE,TRUE,06/30/17,06:40 PM,08:40 PM,FREE,BUSY
07/01/17,08:10 PM,10:10 PM,Rockies at D-backs,Chase Field - Phoenix,"",07/01/17,07/02/17,11:10 PM,01:10 AM,FALSE,TRUE,07/01/17,07:10 PM,09:10 PM,FREE,BUSY
07/02/17,02:10 PM,04:10 PM,Rockies at D-backs,Chase Field - Phoenix,"",07/02/17,07/02/17,05:10 PM,07:10 PM,FALSE,TRUE,07/02/17,01:10 PM,03:10 PM,FREE,BUSY
07/03/17,06:10 PM,08:10 PM,Reds at Rockies,Coors Field - Denver,"",07/03/17,07/03/17,09:10 PM,11:10 PM,FALSE,TRUE,07/03/17,05:10 PM,07:10 PM,FREE,BUSY
